INFO 2025-09-17 02:13:19,818 autoreload 4088 3784 Watching for file changes with StatReloader
INFO 2025-09-17 02:18:13,014 basehttp 4088 9588 "GET /api/clubs/table/?_ts=1758053892988&season=1 HTTP/1.1" 200 315
INFO 2025-09-17 02:18:13,016 basehttp 4088 6672 "GET /api/clubs/?all=1&_ts=1758053892987 HTTP/1.1" 200 625
INFO 2025-09-17 02:18:13,069 basehttp 4088 10164 "GET /media/clubs/logos/%D1%8B%D1%8B%D1%8B_RxZ7DUl.png HTTP/1.1" 200 518197
INFO 2025-09-17 02:18:14,438 basehttp 4088 8408 "OPTIONS /api/players/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:14,439 basehttp 4088 9588 "OPTIONS /api/players/transfers/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:14,439 basehttp 4088 2128 "OPTIONS /api/players/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:14,439 basehttp 4088 6672 "OPTIONS /api/clubs/?all=1&params%5B_ts%5D=1758053894430 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:14,444 basehttp 4088 2948 "OPTIONS /api/players/transfers/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:14,449 basehttp 4088 8408 "GET /api/players/transfers/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 52
INFO 2025-09-17 02:18:14,453 basehttp 4088 2128 "OPTIONS /api/clubs/?all=1&params%5B_ts%5D=1758053894430 HTTP/1.1" 200 0
INFO 2025-09-17 02:18:14,453 basehttp 4088 2948 "GET /api/players/transfers/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 52
INFO 2025-09-17 02:18:14,453 basehttp 4088 9588 "GET /api/players/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 52
INFO 2025-09-17 02:18:14,456 basehttp 4088 6672 "GET /api/players/?params%5B_ts%5D=1758053894430 HTTP/1.1" 200 52
INFO 2025-09-17 02:18:14,468 basehttp 4088 10152 "GET /api/clubs/?all=1&params%5B_ts%5D=1758053894430 HTTP/1.1" 200 625
INFO 2025-09-17 02:18:14,468 basehttp 4088 2128 "GET /api/clubs/?all=1&params%5B_ts%5D=1758053894430 HTTP/1.1" 200 625
INFO 2025-09-17 02:22:46,306 basehttp 4088 9136 "OPTIONS /api/players/ HTTP/1.1" 200 0
INFO 2025-09-17 02:22:46,420 basehttp 4088 9136 "POST /api/players/ HTTP/1.1" 201 429
INFO 2025-09-17 02:22:46,427 basehttp 4088 9136 "OPTIONS /api/players/?params%5B_ts%5D=1758054166423 HTTP/1.1" 200 0
INFO 2025-09-17 02:22:46,433 basehttp 4088 9764 "OPTIONS /api/players/?params%5B_ts%5D=1758054166426 HTTP/1.1" 200 0
INFO 2025-09-17 02:22:46,456 basehttp 4088 9136 "GET /api/players/?params%5B_ts%5D=1758054166423 HTTP/1.1" 200 640
INFO 2025-09-17 02:22:46,459 basehttp 4088 9764 "GET /api/players/?params%5B_ts%5D=1758054166426 HTTP/1.1" 200 640
INFO 2025-09-17 02:22:46,469 basehttp 4088 9248 "GET /media/players/photos/%D1%8B%D1%8B%D1%8B_x2BkD8p.png HTTP/1.1" 200 518197
INFO 2025-09-17 02:22:47,440 autoreload 4088 3784 C:\Users\avgus\Desktop\KGFL\back\matches\models.py changed, reloading.
INFO 2025-09-17 02:22:47,962 autoreload 3476 1436 Watching for file changes with StatReloader
INFO 2025-09-17 02:22:48,562 basehttp 3476 3996 "OPTIONS /api/players/?_ts=1758054168039 HTTP/1.1" 200 0
INFO 2025-09-17 02:22:48,564 basehttp 3476 7264 "OPTIONS /api/players/?_ts=1758054168039 HTTP/1.1" 200 0
INFO 2025-09-17 02:22:48,598 basehttp 3476 9552 "GET /api/players/?_ts=1758054168039 HTTP/1.1" 200 640
INFO 2025-09-17 02:22:48,604 basehttp 3476 6052 "GET /api/players/?_ts=1758054168039 HTTP/1.1" 200 640
INFO 2025-09-17 02:22:48,660 basehttp 3476 9904 "GET /media/clubs/logos/%D1%8B%D1%8B%D1%8B_RxZ7DUl.png HTTP/1.1" 200 518197
INFO 2025-09-17 02:22:54,462 basehttp 3476 9552 "GET /api/users/me/ HTTP/1.1" 200 233
INFO 2025-09-17 02:22:54,464 basehttp 3476 6052 "GET /api/users/me/ HTTP/1.1" 200 233
INFO 2025-09-17 02:22:56,037 basehttp 3476 6052 "OPTIONS /api/matches/?params%5B_ts%5D=1758054176025 HTTP/1.1" 200 0
INFO 2025-09-17 02:22:56,038 basehttp 3476 3996 "OPTIONS /api/clubs/table/?_ts=1758054176026&season=1 HTTP/1.1" 200 0
